Empty,"TB is intracellular; thereby TH1 cells mediate the response with granulomas, stimulating formation of giant cells, etc."
 flocculonodular lobe helps with balance and eye movements; damage results in nystagmus and vertigo,Cerebellum
" used for motor planning; results in limb dysmetria (overshoot, finger to nose issues)",Lateral cerebellum
 e.g. intrauterine malposition; develops at 2-4 wks; results in SCM injury/fibrosis -> mass on neck; treatment is with stretching/therapy,Congenital torticollis
" decreased left ventricle, enlarged left atrium, sigmoid shaped septum",Normal aging of the heart
" alcohol-induced secretions of protein rich fluid can form ductal plugs and calcify, these can be seen as opaque white dots on imaging",Chronic alcoholic panreatitis
" can be due to conditions affecting the terminal illeum (Crohn's ileitis, resection)",Bile salt malabsorption
 aortic valve leaflets per se are unaffected (still have LVOT obstruction overall); the anterior mitral valve leaflet shifts towards the aortic valve with a thickened septum,Hypertrophic cardiomyopathy
" can present independently of Rheumatic fever; can be associated with recurrent laryngeal nerve impingement (hoarseness, nocturnal breathlessness), rumbling diastolic murmur",Mitral stenosis
" fearful of criticism by others; presents in adulthood; compare to social anxiety disorder, which involves fear of negative social judgement",Avoidant personality disorder
" if suspected, the first step is to fully evaluate the child alone; then call CPS",Suspected child abuse
" more associated with control, orderliness, and perfection vs. any rituals",Obsessive compulsive personality disorder
" can present as sudden agitation, disorientation, psychosis, and sleep disturbance; almost always secondary to another condition (e.g. UTI)",Delirium
 patients should be screened for past manic episodes before being prescribed anti-depressants; otherwise risk precipitating mania,Major depressive disorder vs. bipolar disorder
" should be direct, but non-judgemental (e.g. have your sexual partners been men, women, or both? vs. tell me about your past romantic relationships)",Sexual history
 contact any family first -> someone who cares about the patient,Surrogate health decision-maker
" associated with low orexin-A / hypocretin-1, orexin-B / hypocretin-2; results in non-fantastical, real-dreams (non-REM sleep)",Narcolepsy
" drug for GAD only; noted slow onset, no muscle relaxant or anticonvulsant properties, no risk for dependence",Buspirone
 failure to speak in specific settings despite speaking in other settings,Selective mutism
" an issue can present as ""before the physician can relay any specifics about the [patient's] condition, the [next-of-kin] hangs up the phone""; initial contact alone does not seem to count",Communication with next-of-kin
 allows a doctor to treat a patient without consent in an emergency setting,Healthcare consent act
 half-life is ranked; diazepam = chlordiazepoxide = flurazepam > aprazolam = lorazepam = temazepam > oxazepam = midazolam = triazolam,Benzodiazepines
" can be specific to an academic area (writing, math, reading); associated with anxiety, inattention, hyperactivity when asked to perform in an area of weakness",Learning disorder
 lasting >=2 weeks and >=5 of SIG E CAPS; can override other diagnoses (e.g. adjustment disorder with depressed mood) if >=5 of SIG E CAPS is present,Major depressive disorder
" the transfer of feelings towards a safer, more acceptable object (e.g. anger towards child directed to dog)",Displacement
 attributing unacceptable feelings or impulses to another person,Projection
 this individual overrides all other possible surrogate health decision-makers,Health care proxy
 a method of remuneration where 1 payment is used for all healthcare costs with 1 incident,Global payment
" a method of remuneration where the payor pays a fixed fee for all medical services required by a patient (or company, etc.)",Capitation
" experimenting with opposite-gender activities is a normal form of exploration (e.g. age 5), compare with true dysphoria which involves prolonged and intense feelings about wanting to be the opposite sex",Gender dysphoria
" associated with fear of losing control and dying, abdominal distress, also worry about additional attacks; compare with pheochromocytoma, which tends to not be associated with those fears, and tends to be moreso associated with headaches",Panic attack
 can be acutely managed by benzodiazapines (vs. SSRI's which are slow-onset),Panic attack
" psychosis is only evident during the episode of major depression; compare to schizoaffective disorder, where psychosis occurs outside of depressive episode",Major depressive disorder with psychotic features
" can be presented as patient with current depression + psychosis, but only notable psychiatric history is a depressive episode in the past",Major depressive disorder with psychotic features
 clear symptoms of schizophrenia + mood disorder,Schizoaffective disorder
" clear symptoms of schizophrenia (e.g. psychosis, flat affect, disorganized thought, paranoia) for >1 mo but <6 mo",Schizophreniform disorder
" most states allow <18 to consent to prenatal care without parental notification, but require parental notification for abortion",Elective termination of pregnancy / abortion
" comprised of almost 1/3 glycine, with another 1/5th from proline",Collagen
 inhibited by high alanine (from glucose metabolism); prevents PEP from being consumed in gluconeogenic state,Pyruvate kinase
" citrate (from 1st step in Krebs cycle) positively regulates these enzymes for fatty acid synthesis and gluconeogenesis, respectively","acetyl-CoA carboxylase, fructose-1,6-biphosphatase"
 is transported to the liver where it is converted back to glucose,Lactate
" muscle, adipocytes; all else is independent (e.g. brain, liver, intestine, kidney)",Insulin dependent tissues
" Is regulated by enzymes; PFK2 increases F2,6BP in response to insulin, F2,6-biphosPHATASE decreases F2,6BP in response to glucagon","F2,6BP / fructose 2,6-biphosphate"
" is regulated by pyruvate carboxylase, which mediates pyruvate -> oxaloacetate; Pyruvate carboxylase is upregulated by ACoA from fatty acid beta-oxidation",Gluconeogenesis
" pyruvate -> oxaloacetate -> PEP ->->-> F1,6BP -> G6P -> glucose",Gluconeogenesis
" binds to cell-surface receptors, leading to intracellular activation of the JAK-STAT pathway; compare to cytokines, and hematopoetic growth factors (e.g. EPO, G-CSF), which also use the same pathway",Growth hormone
" associated with IgM, IgG, C3b deposition in mesangial space, endothelium, subendothelium in glomerulus",Post-strep glomerulonephritis
 complement activation in PSGN occurs through the alternate/lectin pathway,Post-strep glomerulonephritis
" affect stratified squamous epithelium only (e.g. frequent friction-facing surfaces such as true vocal cords, anus, and not friction-free facing surfaces such as false vocal cords)",HPV
" ""dine-in"" the nucleus, retrograde transport protein used by many processes (e.g. Rabies to motor nuclei)",dynein
" nonciliated, secretory cells found in the terminal portions of bronchioles; can act as a regenerative source of ciliated cells inthe bronchioles",Club cells
" histologically, stromal proliferation compresses the ducts to slits",Fibroadenomas
" associated with highly eonsinophilic cytoplasm, loss of Nissl substance, pyknotic nuclei",Red neurons
 persists up to the respiratory bronchioles,Ciliated epithelium in respiratory tract
 ciliated simple cuboidal epithelium,Terminal bronchioles
" an infection of the decidua, which presents as uterine tenderness, fever, tachy",Endometritis
" made of type III collagen, to be replaced with type I collagen",Granulation tissue
" present in dermis, bone, ligaments, dentin, cornea, scar tissue",Type I collagen
" present in cartilage, vitreous humor, nucleus pulposus",Type II collagen
" present in blood vessels, marrow, lymphatics, skin, lungs, fresh GRANULATION tissue",Type III collagen
 include claudins and occludin to act as a paracellular barrier,Tight junction proteins
 comprised of integrins,Hemidesmosomes
 comprised of cadherins to mediate cell-cell anchoring; autoimmune destruction is noted in pemphigus vulgarus,Desmosomes
 toxin binds claudin to interfere with tight junctions of the intestinal barrier,Clostridium perfringens
 associated with IgM and C3 deposits,Focal segmental glomerulosclerosis
" associated with uniform, diffuse capillary wall thickening; deposits of IgG and C3",Membranous glomerulopathy
" autoimmune destruction implicated in pernicious anemia due to lack of intrinsic factor; located in the upper glandular layer, below the simple columnar epithelial layer",Parietal cells
" on electron microscopy, it is the darkest line and defines the outer edges of a sarcomere unit",Z-line
 bound to the Z-line in the muscle sarcomere,Thin actin filaments
 bound to structural proteins at the M-line in the muscle sarcomere,Thick myosin filaments
" the middle of a sarcomere, can be seen as a gray line with clearing on either side; connected to thick myosin filaments",M-line
 present in the blood-brain barrier to form a belt-like seal across the intracellular space,Tight junctions
" involves the interconversion of Alanine, Glutamate, and Aspartate; the amino group is transfered from the AA to the alpha-keto acid, the alpha-keto acid in turn becomes an AA",Transamination
 involved in transamination and decarboxylation reactions,Vitamin B6
" alpha-galactosidose A deficiency which causes buildup of ceramide trihexoside in cardiac and renal tissue; can present with angiokeratoma, neuropathy, excessive sweating",Fabry's disease
 can occur secondary to gut infection (e.g. common following Giardiasis),Lactase intolerance
" typically presents with normocytic anemia with inflammation of the mouth, tongue, and lips",Vitamin B2 deficiency
" to remove excess nitrogen in muscle, excess amino acids are converted to alanine, sent to liver, then converted to glucose",Glucose-alanine cycle
" although disease is asymptomatic, patients will test for positive urine blood sugar",Fructokinase deficiency
